site_autoid,Longitude,Latitude,UTC,Parameter,Unit,Value,AQI,Category,SiteName,AgencyName,FullAQSCode,IntlAQSCode
193,-106.501111,31.768056,2019-06-17T16:00,PM2.5,UG/M3,,34,1,El Paso UTEP C12,Texas Commission on Environmental Quality,481410037,840481410037
194,-106.501111,31.768056,2019-06-17T16:00,OZONE,PPB,,30,1,El Paso UTEP C12,Texas Commission on Environmental Quality,481410037,840481410037
195,-106.455,31.7656,2019-06-17T16:00,OZONE,PPB,,28,1,Chamizal C41,Texas Commission on Environmental Quality,481410044,840481410044
196,-106.455,31.7656,2019-06-17T16:00,PM2.5,UG/M3,,23,1,Chamizal C41,Texas Commission on Environmental Quality,481410044,840481410044
197,-106.425556,31.893889,2019-06-17T16:00,OZONE,PPB,,35,1,Skyline Park C72,Texas Commission on Environmental Quality,481410058,840481410058
198,-106.4092,32.0411,2019-06-17T16:00,OZONE,PPB,,37,1,Chaparral,New Mexico Air Quality Bureau,350130020,840350130020
199,-106.402802,31.7467,2019-06-17T16:00,PM2.5,UG/M3,,43,1,Ascarate Park Southeast C37,Texas Commission on Environmental Quality,481410055,840481410055
200,-106.3242,31.7864,2019-06-17T16:00,OZONE,PPB,,15,1,Ivanhoe C414,Texas Commission on Environmental Quality,481410029,840481410029
201,-106.28774,31.66752,2019-06-17T16:00,PM2.5,UG/M3,,35,1,Socorro Hueco C49,Texas Commission on Environmental Quality,481410057,840481410057
202,-106.28774,31.66752,2019-06-17T16:00,OZONE,PPB,,31,1,Socorro Hueco C49,Texas Commission on Environmental Quality,481410057,840481410057
203,-106.0797,35.6198,2019-06-17T16:00,OZONE,PPB,,49,1,Santa Fe Airport,New Mexico Air Quality Bureau,350490021,840350490021
204,-106.0797,35.6198,2019-06-17T16:00,PM2.5,UG/M3,,13,1,Santa Fe Airport,New Mexico Air Quality Bureau,350490021,840350490021
205,-105.5833,36.3833,2019-06-17T16:00,PM2.5,UG/M3,,10,1,Taos Fire Station,New Mexico Air Quality Bureau,350550005,840350550005
206,-104.2622,32.38,2019-06-17T16:00,OZONE,PPB,,36,1,Carlsbad,New Mexico Air Quality Bureau,350151005,840350151005
207,-103.178101,29.3025,2019-06-17T16:00,OZONE,PPB,,33,1,Big Bend  NP,National Park Service,480430101,840480430101
208,-103.1233,32.7267,2019-06-17T16:00,PM2.5,UG/M3,,47,1,Hobbs Jefferson,New Mexico Air Quality Bureau,350250008,840350250008
209,-103.1233,32.7267,2019-06-17T16:00,OZONE,PPB,,45,1,Hobbs Jefferson,New Mexico Air Quality Bureau,350250008,840350250008
210,-102.334756,31.870253,2019-06-17T16:00,PM2.5,UG/M3,,35,1,Odessa Gonzales C1014,Texas Commission on Environmental Quality,481351014,840481351014
211,-101.9083,35.2006,2019-06-17T16:00,PM2.5,UG/M3,,23,1,Amarillo Texas A&M C320,Texas Commission on Environmental Quality,483750320,840483750320
212,-101.78698,33.5853,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Lubbock 12th Street,Texas Commission on Environmental Quality,483031028,840483031028
213,-101.6649,34.8803,2019-06-17T16:00,OZONE,PPB,,46,1,Palo Duro,EPA Office of Atmospheric Programs,483819991,840483819991
214,-100.451155,28.704607,2019-06-17T16:00,PM2.5,UG/M3,,41,1,Eagle Pass C319,Texas Commission on Environmental Quality,483230004,840483230004
215,-99.5333,27.5994,2019-06-17T16:00,PM2.5,UG/M3,,51,2,Laredo C313,Texas Commission on Environmental Quality,484790313,840484790313
216,-99.515244,27.517403,2019-06-17T16:00,OZONE,PPB,,21,1,Laredo C44,Texas Commission on Environmental Quality,484790016,840484790016
217,-98.9353,36.1589,2019-06-17T16:00,OZONE,PPB,,32,1,Seiling,Oklahoma Department of Environmental Quality,400430860,840400430860
218,-98.9353,36.1589,2019-06-17T16:00,PM2.5,UG/M3,,30,1,Seiling,Oklahoma Department of Environmental Quality,400430860,840400430860
219,-98.620003,29.514999,2019-06-17T16:00,OZONE,PPB,,34,1,San Antonio Northwest C23,Texas Commission on Environmental Quality,480290032,840480290032
220,-98.620003,29.514999,2019-06-17T16:00,PM2.5,UG/M3,,15,1,San Antonio Northwest C23,Texas Commission on Environmental Quality,480290032,840480290032
221,-98.580505,29.423933,2019-06-17T16:00,PM2.5,UG/M3,,26,1,San Antonio Old Hwy90 C677,Texas Commission on Environmental Quality,480290677,840480290677
222,-98.565002,29.6322,2019-06-17T16:00,OZONE,PPB,,34,1,Camp Bullis C58,Texas Commission on Environmental Quality,480290052,840480290052
223,-98.551396,29.332803,2019-06-17T16:00,PM2.5,UG/M3,,19,1,San Antonio Palo Alto C676,Texas Commission on Environmental Quality,480290676,840480290676
224,-98.428802,34.632999,2019-06-17T16:00,OZONE,PPB,,44,1,Lawton North,Oklahoma Department of Environmental Quality,400310651,840400310651
225,-98.428802,34.632999,2019-06-17T16:00,PM2.5,UG/M3,,18,1,Lawton North,Oklahoma Department of Environmental Quality,400310651,840400310651
226,-98.39139,29.5294,2019-06-17T16:00,PM2.5,UG/M3,,20,1,San Antonio IH35 C1069,Texas Commission on Environmental Quality,480291069,840480291069
227,-98.311699,29.275299,2019-06-17T16:00,OZONE,PPB,,28,1,Calaveras Lake C59,Texas Commission on Environmental Quality,480290059,840480290059
228,-98.311699,29.275299,2019-06-17T16:00,PM2.5,UG/M3,,16,1,Calaveras Lake C59,Texas Commission on Environmental Quality,480290059,840480290059
229,-98.29107,26.226226,2019-06-17T16:00,PM2.5,UG/M3,,50,1,Mission C43,Texas Commission on Environmental Quality,482150043,840482150043
230,-97.9058,32.8686,2019-06-17T16:00,OZONE,PPB,,35,1,Parker County C76,Texas Commission on Environmental Quality,483670081,840483670081
231,-97.8723,30.483168,2019-06-17T16:00,OZONE,PPB,,25,1,Audubon C38,Texas Commission on Environmental Quality,484530020,840484530020
232,-97.8033,32.4419,2019-06-17T16:00,OZONE,PPB,,34,1,Granbury C73,Texas Commission on Environmental Quality,482210001,840482210001
233,-97.760002,30.3542,2019-06-17T16:00,OZONE,PPB,,30,1,Austin Northwest C3,Texas Commission on Environmental Quality,484530014,840484530014
234,-97.760002,30.3542,2019-06-17T16:00,PM2.5,UG/M3,,14,1,Austin Northwest C3,Texas Commission on Environmental Quality,484530014,840484530014
235,-97.7508,35.4794,2019-06-17T16:00,OZONE,PPB,,39,1,Yukon,Oklahoma Department of Environmental Quality,400170101,840400170101
236,-97.7131,30.2633,2019-06-17T16:00,PM2.5,UG/M3,,19,1,Austin Webberville Road C171,Texas Commission on Environmental Quality,484530021,840484530021
237,-97.712501,26.200278,2019-06-17T16:00,OZONE,PPB,,20,1,Harlingen Teege C1023,Texas Commission on Environmental Quality,480611023,840480611023
238,-97.69166,30.35386,2019-06-17T16:00,PM2.5,UG/M3,,19,1,Austin North Interstate 35 C1068,Texas Commission on Environmental Quality,484531068,840484531068
239,-97.679734,31.088002,2019-06-17T16:00,OZONE,PPB,,33,1,Killeen C1047,Texas Commission on Environmental Quality,480271047,840480271047
240,-97.577674,35.502968,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Near Road OKC,Oklahoma Department of Environmental Quality,401090097,840401090097
241,-97.5558,27.8333,2019-06-17T16:00,OZONE,PPB,,38,1,Corpus Christi Tuloso C21,Texas Commission on Environmental Quality,483550026,840483550026
242,-97.4936,25.8925,2019-06-17T16:00,PM2.5,UG/M3,,43,1,Brownsville C80,Texas Commission on Environmental Quality,480610006,840480610006
243,-97.4883,35.32,2019-06-17T16:00,OZONE,PPB,,38,1,Moore,Oklahoma Department of Environmental Quality,400270049,840400270049
244,-97.4883,35.32,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Moore,Oklahoma Department of Environmental Quality,400270049,840400270049
245,-97.4764,32.9881,2019-06-17T16:00,OZONE,PPB,,34,1,Eagle Mountain Lake C75,Texas Commission on Environmental Quality,484390075,840484390075
246,-97.474197,34.256901,2019-06-17T16:00,OZONE,PPB,,42,1,Healdton,Oklahoma Department of Environmental Quality,400190297,840400190297
247,-97.474197,34.256901,2019-06-17T16:00,PM2.5,UG/M3,,18,1,Healdton,Oklahoma Department of Environmental Quality,400190297,840400190297
248,-97.472198,35.612801,2019-06-17T16:00,OZONE,PPB,,37,1,North OKC,Oklahoma Department of Environmental Quality,401091037,840401091037
249,-97.472198,35.612801,2019-06-17T16:00,PM2.5,UG/M3,,20,1,North OKC,Oklahoma Department of Environmental Quality,401091037,840401091037
250,-97.4657,27.811814,2019-06-17T16:00,PM2.5,UG/M3,,23,1,Corpus Christi Dona Park C635,Texas Commission on Environmental Quality,483550034,840483550034
251,-97.436748,32.353593,2019-06-17T16:00,OZONE,PPB,,44,1,Cleburne Airport C77,Texas Commission on Environmental Quality,482510003,840482510003
252,-97.434247,27.765335,2019-06-17T16:00,OZONE,PPB,,41,1,Corpus Christi West C4,Texas Commission on Environmental Quality,483550025,840483550025
253,-97.4314,27.8042,2019-06-17T16:00,PM2.5,UG/M3,,23,1,Corpus Christi Huisache C98,Texas Commission on Environmental Quality,483550032,840483550032
254,-97.431158,31.122527,2019-06-17T16:00,OZONE,PPB,,37,1,Temple Georgia C1045,Texas Commission on Environmental Quality,480271045,840480271045
255,-97.431158,31.122527,2019-06-17T16:00,PM2.5,UG/M3,,18,1,Temple Georgia C1045,Texas Commission on Environmental Quality,480271045,840480271045
256,-97.356567,32.805818,2019-06-17T16:00,OZONE,PPB,,31,1,Ft. Worth Northwest C13,Texas Commission on Environmental Quality,484391002,840484391002
257,-97.3414,32.7592,2019-06-17T16:00,PM2.5,UG/M3,,25,1,Haws Athletic Center C310,Texas Commission on Environmental Quality,484391006,840484391006
258,-97.3022,35.4778,2019-06-17T16:00,OZONE,PPB,,40,1,Choctaw,Oklahoma Department of Environmental Quality,401090096,840401090096
259,-97.2986,27.4269,2019-06-17T16:00,PM2.5,UG/M3,,26,1,Corpus Christi - National Seashore C314,Texas Commission on Environmental Quality,482730314,840482730314
260,-97.282088,32.922498,2019-06-17T16:00,OZONE,PPB,,34,1,Keller C17,Texas Commission on Environmental Quality,484392003,840484392003
261,-97.1933,33.1944,2019-06-17T16:00,OZONE,PPB,,34,1,Denton Airport South C56,Texas Commission on Environmental Quality,481210034,840481210034
262,-97.1933,33.1944,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Denton Airport South C56,Texas Commission on Environmental Quality,481210034,840481210034
263,-97.1667,26.0733,2019-06-17T16:00,PM2.5,UG/M3,,44,1,Isla Blanca C323/C667,Texas Commission on Environmental Quality,480612004,840480612004
264,-97.0886,32.6558,2019-06-17T16:00,OZONE,PPB,,34,1,Arlington Municipal Airport C61,Texas Commission on Environmental Quality,484393011,840484393011
265,-97.081278,36.697189,2019-06-17T16:00,PM2.5,UG/M3,,17,1,Ponca City,Oklahoma Department of Environmental Quality,400710604,840400710604
266,-97.0706,31.6531,2019-06-17T16:00,OZONE,PPB,,34,1,Waco C1037,Texas Commission on Environmental Quality,483091037,840483091037
267,-97.0706,31.6531,2019-06-17T16:00,PM2.5,UG/M3,,19,1,Waco C1037,Texas Commission on Environmental Quality,483091037,840483091037
268,-97.063705,32.98426,2019-06-17T16:00,OZONE,PPB,,32,1,Grapevine Fairway C70,Texas Commission on Environmental Quality,484393009,840484393009
269,-97.026922,32.482081,2019-06-17T16:00,OZONE,PPB,,35,1,Midlothian OFW C52,Texas Commission on Environmental Quality,481390016,840481390016
270,-97.026922,32.482081,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Midlothian OFW C52,Texas Commission on Environmental Quality,481390016,840481390016
271,-97.0056,28.8358,2019-06-17T16:00,OZONE,PPB,,46,1,Victoria C87,Texas Commission on Environmental Quality,484690003,840484690003
272,-96.9437,33.4107,2019-06-17T16:00,OZONE,PPB,,36,1,Pilot Point C1032,Texas Commission on Environmental Quality,481211032,840481211032
273,-96.8717,32.6767,2019-06-17T16:00,OZONE,PPB,,42,1,Dallas Redbird Airport C402,Texas Commission on Environmental Quality,481130087,840481130087
274,-96.8711,32.1772,2019-06-17T16:00,OZONE,PPB,,27,1,Italy C1044,Texas Commission on Environmental Quality,481391044,840481391044
275,-96.86,32.82,2019-06-17T16:00,OZONE,PPB,,38,1,Dallas Hinton St. C401/C161 [E],Texas Commission on Environmental Quality,481130069,840481130069
276,-96.808498,32.919206,2019-06-17T16:00,OZONE,PPB,,37,1,Dallas North C63,Texas Commission on Environmental Quality,481130075,840481130075
277,-96.7861,33.1325,2019-06-17T16:00,OZONE,PPB,,37,1,Frisco C31,Texas Commission on Environmental Quality,480850005,840480850005
278,-96.4592,32.9361,2019-06-17T16:00,OZONE,PPB,,29,1,Rockwall Heath C69,Texas Commission on Environmental Quality,483970001,840483970001
279,-96.3992,32.0319,2019-06-17T16:00,OZONE,PPB,,35,1,Corsicana C1051,Texas Commission on Environmental Quality,483491051,840483491051
280,-96.3992,32.0319,2019-06-17T16:00,PM2.5,UG/M3,,22,1,Corsicana C1051,Texas Commission on Environmental Quality,483491051,840483491051
281,-96.3608,36.1053,2019-06-17T16:00,OZONE,PPB,,32,1,Mannford,Oklahoma Department of Environmental Quality,400370144,840400370144
282,-96.3175,32.565,2019-06-17T16:00,OZONE,PPB,,38,1,Kaufman C71,Texas Commission on Environmental Quality,482570005,840482570005
283,-96.3175,32.565,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Kaufman C71,Texas Commission on Environmental Quality,482570005,840482570005
284,-96.115561,33.153077,2019-06-17T16:00,OZONE,PPB,,33,1,Greenville C1006/198,Texas Commission on Environmental Quality,482311006,840482311006
285,-96.01243,36.35586,2019-06-17T16:00,OZONE,PPB,,34,1,Skiatook,Oklahoma Department of Environmental Quality,401130226,840401130226
286,-96.0033,35.9525,2019-06-17T16:00,OZONE,PPB,,35,1,Glenpool,Oklahoma Department of Environmental Quality,401430174,840401430174
287,-96.0033,35.9525,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Glenpool,Oklahoma Department of Environmental Quality,401430174,840401430174
288,-95.976402,36.206699,2019-06-17T16:00,OZONE,PPB,,32,1,Tulsa,Oklahoma Department of Environmental Quality,401431127,840401431127
289,-95.976402,36.206699,2019-06-17T16:00,PM2.5,UG/M3,,19,1,Tulsa,Oklahoma Department of Environmental Quality,401431127,840401431127
290,-95.794128,34.906082,2019-06-17T16:00,OZONE,PPB,,33,1,McAlester,Oklahoma Department of Environmental Quality,401210415,840401210415
291,-95.794128,34.906082,2019-06-17T16:00,PM2.5,UG/M3,,18,1,McAlester,Oklahoma Department of Environmental Quality,401210415,840401210415
292,-95.7636,36.1336,2019-06-17T16:00,OZONE,PPB,,34,1,Lynn Lane,Oklahoma Department of Environmental Quality,401430178,840401430178
293,-95.6358,29.7233,2019-06-17T16:00,OZONE,PPB,,36,1,Houston Westhollow C410,Texas Commission on Environmental Quality,482010066,840482010066
294,-95.4992,29.6958,2019-06-17T16:00,OZONE,PPB,,37,1,Houston Bayland Park C53/C146/C181,Texas Commission on Environmental Quality,482010055,840482010055
295,-95.4892,29.8342,2019-06-17T16:00,OZONE,PPB,,31,1,Lang C408,Texas Commission on Environmental Quality,482010047,840482010047
296,-95.4742,29.6239,2019-06-17T16:00,OZONE,PPB,,32,1,Houston Croquet C409,Texas Commission on Environmental Quality,482010051,840482010051
297,-95.4736,29.0436,2019-06-17T16:00,OZONE,PPB,,38,1,Lake Jackson C1016,Texas Commission on Environmental Quality,480391016,840480391016
298,-95.425,30.3503,2019-06-17T16:00,OZONE,PPB,,36,1,Conroe Relocated C78,Texas Commission on Environmental Quality,483390078,840483390078
299,-95.425,30.3503,2019-06-17T16:00,PM2.5,UG/M3,,10,1,Conroe Relocated C78,Texas Commission on Environmental Quality,483390078,840483390078
300,-95.415751,32.344008,2019-06-17T16:00,OZONE,PPB,,37,1,Tyler Airport Relocated C82,Texas Commission on Environmental Quality,484230007,840484230007
301,-95.3925,29.5203,2019-06-17T16:00,OZONE,PPB,,35,1,Manvel Croix Park C84,Texas Commission on Environmental Quality,480391004,840480391004
302,-95.3261,29.9011,2019-06-17T16:00,OZONE,PPB,,31,1,Houston Aldine C8,Texas Commission on Environmental Quality,482010024,840482010024
303,-95.294724,29.68639,2019-06-17T16:00,OZONE,PPB,,33,1,Houston Park Place C416,Texas Commission on Environmental Quality,482010416,840482010416
304,-95.2842,29.8281,2019-06-17T16:00,OZONE,PPB,,21,1,Houston North Wayside C405,Texas Commission on Environmental Quality,482010046,840482010046
305,-95.2672,29.6256,2019-06-17T16:00,OZONE,PPB,,31,1,Houston Monroe C406,Texas Commission on Environmental Quality,482010062,840482010062
306,-95.2575,29.7339,2019-06-17T16:00,PM2.5,UG/M3,,28,1,Clinton C403,Texas Commission on Environmental Quality,482011035,840482011035
307,-95.25,36.228298,2019-06-17T16:00,OZONE,PPB,,28,1,PRYOR,Cherokee Nation,400979014,840400979014
308,-95.2206,29.7681,2019-06-17T16:00,OZONE,PPB,,28,1,Houston East C1,Texas Commission on Environmental Quality,482011034,840482011034
309,-95.2206,29.7681,2019-06-17T16:00,PM2.5,UG/M3,,20,1,Houston East C1,Texas Commission on Environmental Quality,482011034,840482011034
310,-95.128508,29.670025,2019-06-17T16:00,OZONE,PPB,,31,1,Houston Deer Park C35,Texas Commission on Environmental Quality,482011039,840482011039
311,-95.128508,29.670025,2019-06-17T16:00,PM2.5,UG/M3,,13,1,Houston Deer Park C35,Texas Commission on Environmental Quality,482011039,840482011039
312,-95.1256,29.8025,2019-06-17T16:00,OZONE,PPB,,24,1,Channelview C15,Texas Commission on Environmental Quality,482010026,840482010026
313,-95.0781,29.7644,2019-06-17T16:00,OZONE,PPB,,22,1,Lynchburg Ferry C1015,Texas Commission on Environmental Quality,482011015,840482011015
314,-95.0311,29.7708,2019-06-17T16:00,PM2.5,UG/M3,,27,1,Baytown C148,Texas Commission on Environmental Quality,482010058,840482010058
315,-95.0156,29.5831,2019-06-17T16:00,OZONE,PPB,,31,1,Seabrook Friendship Park C45,Texas Commission on Environmental Quality,482011050,840482011050
316,-95.0156,29.5831,2019-06-17T16:00,PM2.5,UG/M3,,13,1,Seabrook Friendship Park C45,Texas Commission on Environmental Quality,482011050,840482011050
317,-94.983786,29.823319,2019-06-17T16:00,OZONE,PPB,,27,1,Baytown Garth C1017,Texas Commission on Environmental Quality,482011017,840482011017
318,-94.8564,29.2631,2019-06-17T16:00,OZONE,PPB,,39,1,Galveston Airport C1034,Texas Commission on Environmental Quality,481671034,840481671034
319,-94.711811,32.378682,2019-06-17T16:00,OZONE,PPB,,33,1,Longview C19/C127,Texas Commission on Environmental Quality,481830001,840481830001
320,-94.6739,30.6681,2019-06-17T16:00,OZONE,PPB,,26,1,Alabama-Coushatta,EPA Office of Atmospheric Programs,483739991,840483739991
321,-94.669701,35.750599,2019-06-17T16:00,OZONE,PPB,,38,1,STILWELL CASTNET & NCORE,Cherokee Nation,400019009,840400019009
322,-94.669701,35.750599,2019-06-17T16:00,PM2.5,UG/M3,,0,1,STILWELL CASTNET & NCORE,Cherokee Nation,400019009,840400019009
323,-94.524414,35.408138,2019-06-17T16:00,OZONE,PPB,,42,1,ROLAND,Cherokee Nation,401359021,840401359021
324,-94.524414,35.408138,2019-06-17T16:00,PM2.5,UG/M3,,-999,0,ROLAND,Cherokee Nation,401359021,840401359021
325,-94.3178,29.863952,2019-06-17T16:00,OZONE,PPB,,22,1,Hamshire C64,Texas Commission on Environmental Quality,482450022,840482450022
326,-94.3178,29.863952,2019-06-17T16:00,PM2.5,UG/M3,,9,1,Hamshire C64,Texas Commission on Environmental Quality,482450022,840482450022
327,-94.1681,32.6706,2019-06-17T16:00,OZONE,PPB,,31,1,Karnack C85,Texas Commission on Environmental Quality,482030002,840482030002
328,-94.1681,32.6706,2019-06-17T16:00,PM2.5,UG/M3,,26,1,Karnack C85,Texas Commission on Environmental Quality,482030002,840482030002
329,-94.167436,36.011703,2019-06-17T16:00,OZONE,PPB,,36,1,Fayetteville,Arkansas Department of Environmental Quality,51430006,840051430006
330,-94.1433,34.4544,2019-06-17T16:00,OZONE,PPB,,34,1,EAGLEMT,Arkansas Department of Environmental Quality,51130003,840051130003
